experimento,tempo,consumo_cpu
22,3.0,118.0
22,3.5,174.0
22,4.0,153.0
22,4.5,225.0
22,5.0,107.0
22,5.5,159.0
22,6.0,178.0
22,6.5,139.0
22,7.0,114.0
22,7.5,110.0
22,8.0,103.0
22,8.5,144.0
22,9.0,111.0
22,9.5,196.0
22,10.0,77.7
22,10.5,133.0
22,11.0,118.0
22,11.5,175.0
22,12.0,114.0
22,12.5,92.5
22,13.0,132.0
22,13.5,146.0
22,14.0,203.0
22,14.5,142.0
22,15.0,85.1
22,15.5,175.0
22,16.0,151.0
22,16.5,185.0
22,17.0,114.0
22,17.5,78.5
22,18.0,170.0
22,18.5,139.0
22,19.0,214.0
22,19.5,166.0
22,20.0,118.0
22,20.5,170.0
22,21.0,132.0
22,21.5,162.0
22,22.0,125.0
22,22.5,70.3
22,23.0,144.0
22,23.5,153.0
22,24.0,211.0
22,24.5,125.0
22,25.0,96.2
22,25.5,167.0
22,26.0,200.0
22,26.5,122.0
22,27.0,137.0
22,27.5,71.4
22,28.0,133.0
22,28.5,200.0
22,29.0,125.0
22,29.5,155.0
22,30.0,110.0
23,0.5,174.0
23,1.0,207.0
23,1.5,122.0
23,2.0,111.0
23,2.5,100.0
23,3.0,135.0
23,3.5,225.0
23,4.0,151.0
23,4.5,170.0
23,5.0,107.0
23,5.5,140.0
23,6.0,148.0
23,6.5,151.0
23,7.0,96.2
23,7.5,100.0
23,8.0,139.0
23,8.5,133.0
23,9.0,155.0
23,9.5,85.1
23,10.0,107.0
23,10.5,155.0
23,11.0,155.0
23,11.5,151.0
23,12.0,81.4
23,12.5,111.0
23,13.0,177.0
23,13.5,133.0
23,14.0,196.0
23,14.5,96.4
23,15.0,129.0
23,15.5,159.0
23,16.0,135.0
23,16.5,114.0
23,17.0,100.0
23,17.5,107.0
23,18.0,155.0
23,18.5,96.2
23,19.0,192.0
23,19.5,92.5
23,20.0,137.0
23,20.5,174.0
23,21.0,167.0
23,21.5,118.0
23,22.0,92.8
23,22.5,139.0
23,23.0,137.0
23,23.5,246.0
23,24.0,159.0
23,24.5,88.8
23,25.0,150.0
23,25.5,157.0
23,26.0,185.0
23,26.5,107.0
23,27.0,74.0
23,27.5,171.0
23,28.0,144.0
23,28.5,196.0
23,29.0,129.0
23,29.5,103.0
23,30.0,167.0
24,0.5,137.0
24,1.0,140.0
24,1.5,114.0
24,2.0,81.4
24,2.5,166.0
24,3.0,148.0
24,3.5,177.0
24,4.0,110.0
24,4.5,107.0
24,5.0,148.0
